codigo_clase;auton1;auton2;condeval1;condeval2;conprevio1;conprevio2;pasoapaso1;pasoapaso2;particip1;particip2;dedica1;dedica2;clarorg1;clarorg2;equidad1;equidad2;errorpos1;errorpos2;elogio1;elogio2;conecta1;conecta2;ejemplos1;ejemplos2;mensapren1;mensapren2;clarobj1;clarobj2;ritmorel1;ritmorel2;novedad1;novedad2;CDC1;CDC2;CDC3;CDC4;CDC5;CDC6;CDC7;CDC8;CDC9;CDC10;CDC11;CDC12;CDC13;CDC14;CDC15;CEM01;CEM02;CEM03;CEM04;CEM05;CEM06;CEM07;CEM08;CEM09;CEM10;CEM11;CEM12;CEM13;CEM14;CEM15;CEM16;CV01;CV02;CV03;CV04;CV05;CV06;CV07;CV08;CV09;CV10;CV11;CV12;CV13;CV14;CV15;CV16;CV17;CV18;CV19;CV20;CV21;CV22;CV23;CV24;CV25;CV26;CV27;CV28;CV29;CV30;CV31;CV32;CV33;CV34;CV35;CV36;CV37;CV38;CV39;CV40;CV41;CV42;CV43;CV44;CV45;CV46;CV47;CV48
76PV5LTF;5.0;1.0;1.0;3.0;4.0;1.0;5.0;1.0;1.0;5.0;1.0;4.0;2.0;4.0;3.0;5.0;1.0;4.0;5.0;1.0;4.0;1.0;1.0;4.0;5.0;4.0;2.0;5.0;1.0;5.0;4.0;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;5.0;1.0;1.0;2.0;4.0;1.0;2.0;1.0;4.0;2.0;5.0;3.0;3.0;1.0;4.0;1.0;3.0;4.0;3.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;5.0;4.0;3.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;2.0;1.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;2.0;3.0;1.0;9.0;9;1;3;9;9;5;3;9;9;4;3;9
76PV5LTF;4.0;2.0;5.0;1.0;4.0;5.0;5.0;3.0;2.0;1.0;5.0;5.0;2.0;1.0;2.0;1.0;3.0;1.0;3.0;1.0;1.0;5.0;3.0;1.0;1.0;1.0;3.0;3.0;3.0;2.0;2.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;4.0;3.0;3.0;1.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;4.0;1.0;1.0;1.0;2.0;2.0;2.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;5.0;3.0;3.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;3.0;3.0;3.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;5.0;5.0;1.0;4.0;9.0;9;3;2;9;9;3;5;9;9;3;3;9
76PV5LTF;4.0;2.0;3.0;3.0;4.0;1.0;4.0;4.0;2.0;3.0;1.0;3.0;2.0;4.0;2.0;3.0;2.0;4.0;5.0;1.0;3.0;3.0;2.0;5.0;4.0;5.0;1.0;4.0;2.0;4.0;5.0;1.0;1.0;4.0;3.0;4.0;5.0;5.0;1.0;1.0;1.0;3.0;1.0;2.0;1.0;2.0;1.0;4.0;2.0;4.0;1.0;5.0;3.0;5.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;4.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;4.0;4.0;2.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;4.0;3.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;2.0;4.0;3.0;3.0;9.0;9;3;4;9;9;3;4;9;9;3;4;9
76PV5LTF;4.0;2.0;1.0;3.0;5.0;2.0;3.0;2.0;1.0;4.0;2.0;4.0;2.0;3.0;1.0;2.0;1.0;4.0;3.0;2.0;3.0;3.0;1.0;2.0;3.0;4.0;2.0;3.0;3.0;3.0;3.0;3.0;2.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0;4.0;2.0;3.0;4.0;3.0;2.0;4.0;3.0;2.0;3.0;3.0;2.0;3.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;2.0;2.0;3.0;1.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;2.0;3.0;1.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;1.0;1.0;4.0;2.0;9.0;9;2;2;9;9;3;2;9;9;3;3;9
76PV5LTF;3.0;2.0;3.0;2.0;2.0;1.0;4.0;4.0;2.0;4.0;4.0;2.0;4.0;4.0;5.0;5.0;3.0;4.0;2.0;4.0;2.0;2.0;3.0;3.0;3.0;4.0;3.0;4.0;2.0;4.0;5.0;2.0;2.0;1.0;2.0;2.0;1.0;1.0;1.0;3.0;2.0;3.0;4.0;2.0;4.0;2.0;2.0;1.0;2.0;1.0;3.0;2.0;1.0;2.0;1.0;3.0;2.0;5.0;1.0;2.0;1.0;2.0;1.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;4.0;1.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;3.0;4.0;2.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;3.0;4.0;2.0;9.0;9;2;4;9;9;3;3;9;9;5;4;9
76PV5LTF;5.0;2.0;1.0;5.0;5.0;3.0;5.0;2.0;1.0;5.0;2.0;5.0;3.0;5.0;5.0;5.0;3.0;5.0;5.0;5.0;5.0;5.0;3.0;5.0;5.0;5.0;3.0;4.0;2.0;4.0;5.0;2.0;1.0;4.0;3.0;1.0;5.0;5.0;1.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;5.0;5.0;5.0;5.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;1.0;5.0;5.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;5.0;5.0;5.0;2.0;9.0;9;2;5;9;9;5;5;9;9;5;5;9
NHDFZAC7;2.0;1.0;3.0;3.0;5.0;2.0;3.0;3.0;5.0;3.0;3.0;3.0;3.0;5.0;3.0;5.0;1.0;3.0;5.0;3.0;5.0;3.0;3.0;1.0;4.0;5.0;5.0;5.0;3.0;2.0;3.0;5.0;1.0;5.0;1.0;2.0;2.0;1.0;2.0;1.0;1.0;3.0;5.0;5.0;1.0;1.0;2.0;3.0;3.0;1.0;3.0;1.0;1.0;3.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;1.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;1.0;5.0;1.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;3.0;5.0;3.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;3.0;5.0;3.0;1.0;9.0;9;1;5;9;9;5;5;9;9;3;5;9
NHDFZAC7;4.0;5.0;2.0;5.0;5.0;2.0;4.0;5.0;5.0;5.0;2.0;1.0;3.0;5.0;1.0;5.0;2.0;5.0;5.0;5.0;5.0;2.0;2.0;1.0;5.0;5.0;1.0;2.0;1.0;4.0;3.0;5.0;2.0;5.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;4.0;3.0;5.0;1.0;1.0;2.0;4.0;2.0;2.0;1.0;1.0;3.0;5.0;3.0;2.0;2.0;2.0;2.0;3.0;2.0;5.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;4.0;4.0;5.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;2.0;2.0;1.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;1.0;5.0;4.0;9.0;9;4;5;9;9;1;5;9;9;1;1;9
NHDFZAC7;5.0;1.0;1.0;5.0;3.0;1.0;5.0;2.0;1.0;5.0;5.0;4.0;1.0;3.0;1.0;4.0;1.0;4.0;4.0;2.0;4.0;1.0;3.0;1.0;4.0;5.0;3.0;5.0;2.0;4.0;5.0;3.0;5.0;5.0;1.0;4.0;4.0;1.0;1.0;1.0;4.0;4.0;4.0;3.0;2.0;1.0;4.0;4.0;4.0;1.0;1.0;3.0;4.0;3.0;3.0;4.0;2.0;2.0;1.0;4.0;3.0;3.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;4.0;4.0;4.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;3.0;2.0;2.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;5.0;5.0;2.0;2.0;2.0;9.0;9;1;5;9;9;5;3;9;9;5;5;9
NHDFZAC7;5.0;1.0;1.0;4.0;1.0;5.0;1.0;2.0;3.0;3.0;1.0;3.0;4.0;5.0;2.0;1.0;5.0;2.0;3.0;3.0;4.0;2.0;5.0;3.0;4.0;5.0;3.0;3.0;5.0;1.0;5.0;3.0;2.0;2.0;4.0;5.0;5.0;1.0;2.0;2.0;2.0;1.0;1.0;3.0;1.0;1.0;2.0;1.0;3.0;1.0;2.0;3.0;3.0;4.0;1.0;5.0;1.0;3.0;4.0;4.0;2.0;1.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;3.0;1.0;1.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;1.0;2.0;3.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;3.0;3.0;3.0;1.0;9.0;9;3;3;9;9;3;5;9;9;4;4;9
NHDFZAC7;5.0;1.0;3.0;3.0;5.0;2.0;4.0;1.0;3.0;5.0;3.0;4.0;1.0;4.0;5.0;4.0;4.0;4.0;5.0;4.0;5.0;3.0;2.0;5.0;5.0;3.0;2.0;5.0;5.0;2.0;5.0;5.0;1.0;4.0;3.0;2.0;2.0;1.0;1.0;1.0;1.0;5.0;5.0;2.0;1.0;1.0;4.0;4.0;2.0;1.0;3.0;5.0;1.0;5.0;1.0;1.0;1.0;4.0;5.0;4.0;1.0;4.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;1.0;4.0;1.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;3.0;3.0;5.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;5.0;2.0;5.0;5.0;4.0;9.0;9;1;5;9;9;4;3;9;9;4;3;9
NHDFZAC7;3.0;2.0;1.0;1.0;3.0;3.0;2.0;4.0;1.0;4.0;2.0;3.0;3.0;4.0;1.0;5.0;3.0;3.0;5.0;4.0;4.0;3.0;1.0;2.0;4.0;3.0;3.0;4.0;3.0;3.0;4.0;3.0;1.0;4.0;1.0;2.0;1.0;1.0;1.0;2.0;3.0;3.0;2.0;2.0;3.0;1.0;4.0;4.0;3.0;2.0;2.0;3.0;3.0;3.0;2.0;4.0;3.0;4.0;3.0;3.0;2.0;3.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;2.0;3.0;3.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;2.0;3.0;1.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;3.0;2.0;3.0;2.0;9.0;9;1;4;9;9;5;3;9;9;5;3;9
NHDFZAC7;3.0;2.0;4.0;4.0;3.0;3.0;3.0;3.0;4.0;4.0;4.0;4.0;3.0;5.0;2.0;5.0;2.0;3.0;5.0;4.0;3.0;3.0;3.0;4.0;5.0;5.0;3.0;3.0;3.0;5.0;4.0;2.0;4.0;5.0;2.0;1.0;1.0;1.0;1.0;4.0;1.0;3.0;4.0;4.0;1.0;1.0;2.0;4.0;3.0;3.0;2.0;3.0;2.0;4.0;3.0;2.0;3.0;3.0;4.0;2.0;3.0;4.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;3.0;4.0;2.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;3.0;2.0;4.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;3.0;4.0;3.0;4.0;9.0;9;2;2;9;9;2;3;9;9;4;4;9
NHDFZAC7;5.0;3.0;3.0;5.0;5.0;2.0;4.0;3.0;3.0;5.0;5.0;3.0;4.0;5.0;1.0;4.0;5.0;4.0;5.0;4.0;5.0;1.0;4.0;3.0;5.0;5.0;4.0;3.0;1.0;1.0;3.0;1.0;2.0;5.0;2.0;5.0;1.0;1.0;1.0;2.0;1.0;4.0;4.0;4.0;1.0;1.0;4.0;1.0;2.0;3.0;2.0;1.0;2.0;3.0;4.0;1.0;2.0;3.0;1.0;2.0;1.0;3.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;3.0;4.0;3.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;2.0;3.0;3.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;3.0;2.0;4.0;3.0;9.0;9;1;3;9;9;3;5;9;9;5;5;9
NHDFZAC7;5.0;1.0;3.0;5.0;5.0;4.0;5.0;5.0;1.0;3.0;3.0;5.0;1.0;5.0;3.0;5.0;5.0;5.0;3.0;1.0;5.0;3.0;1.0;5.0;5.0;5.0;3.0;5.0;1.0;3.0;4.0;1.0;2.0;5.0;1.0;1.0;1.0;1.0;1.0;2.0;5.0;2.0;3.0;3.0;2.0;1.0;2.0;5.0;2.0;5.0;1.0;5.0;2.0;5.0;2.0;4.0;1.0;4.0;1.0;5.0;2.0;4.0;1.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;1.0;5.0;3.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;5.0;4.0;3.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;3.0;5.0;1.0;2.0;9.0;9;1;2;9;9;2;3;9;9;3;4;9
NHDFZAC7;3.0;3.0;2.0;5.0;4.0;2.0;3.0;3.0;1.0;3.0;3.0;3.0;3.0;3.0;4.0;2.0;2.0;3.0;3.0;3.0;4.0;3.0;3.0;1.0;4.0;4.0;3.0;5.0;2.0;4.0;3.0;3.0;2.0;3.0;3.0;1.0;1.0;1.0;1.0;1.0;3.0;2.0;1.0;2.0;2.0;1.0;2.0;3.0;2.0;3.0;2.0;3.0;3.0;3.0;2.0;3.0;2.0;1.0;3.0;4.0;2.0;3.0;1.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;2.0;3.0;4.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;3.0;3.0;1.0;3.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;3.0;3.0;3.0;2.0;9.0;9;1;3;9;9;4;3;9;9;4;3;9
LEHPRZPH;4.0;1.0;1.0;3.0;5.0;1.0;5.0;1.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;4.0;1.0;4.0;3.0;1.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;5.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;5.0;1.0;3.0;5.0;2.0;1.0;5.0;4.0;2.0;3.0;1.0;5.0;3.0;1.0;4.0;2.0;5.0;1.0;4.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;1.0;5.0;2.0;4.0;1.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;2.0;3.0;5.0;1.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;3.0;4.0;2.0;5.0;5.0;9.0;9;5;1;9;9;3;2;9;9;1;3;9
LEHPRZPH;4.0;1.0;1.0;5.0;5.0;1.0;5.0;1.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;5.0;1.0;1.0;3.0;1.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;5.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;2.0;2.0;5.0;1.0;5.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;5.0;1.0;1.0;5.0;1.0;9.0;9.0;9.0;9.0;9.0;9.0;5.0;4.0;5.0;4.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;4.0;4.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;5.0;4.0;5.0;1.0;9.0;9;1;5;9;9;3;5;9;9;5;5;9
LEHPRZPH;5.0;2.0;1.0;2.0;5.0;1.0;5.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;1.0;5.0;2.0;5.0;5.0;2.0;2.0;5.0;2.0;5.0;5.0;5.0;1.0;4.0;1.0;5.0;5.0;2.0;1.0;2.0;3.0;3.0;2.0;4.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;4.0;4.0;5.0;2.0;3.0;2.0;5.0;2.0;5.0;2.0;5.0;2.0;3.0;2.0;5.0;2.0;5.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;2.0;2.0;5.0;2.0;5.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;5.0;3.0;4.0;2.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;5.0;4.0;2.0;4.0;5.0;9.0;9;3;4;9;9;5;4;9;9;2;5;9
LEHPRZPH;5.0;2.0;1.0;4.0;4.0;1.0;5.0;3.0;1.0;5.0;1.0;4.0;1.0;5.0;2.0;4.0;2.0;5.0;5.0;1.0;5.0;3.0;3.0;4.0;4.0;4.0;2.0;4.0;1.0;5.0;4.0;3.0;1.0;4.0;4.0;2.0;1.0;3.0;1.0;1.0;1.0;5.0;2.0;4.0;1.0;1.0;4.0;3.0;2.0;2.0;2.0;5.0;4.0;4.0;2.0;4.0;3.0;4.0;3.0;4.0;2.0;4.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;4.0;4.0;4.0;4.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;2.0;2.0;3.0;2.0;9.0;9.0;9.0;9.0;9.0;9.0;9.0;4.0;2.0;2.0;5.0;2.0;9.0;9;2;3;9;9;3;2;9;9;2;4;9
